Date,Time,DST,disturbance_date,Disturbance_time,B(IMF),Vector_B,Lat_angle_B,Long_angle_B,Bz(GSE),Bz(GSM),RMS_magnitude,RMS_field_vector,RMS_BZ_GSE,Plasma_Temp,Proton_Density,Plasma_speed,Alpha/proton,sigma-T,sigma-n,sigma-V,sigma-ratio,flow_pressure,E_field,Plasma_beta,Kp_index,Ap_index
2000/10/10,00:26:05,-107.5,14/10/2000,14:00:00,13.1,12.3,-44.5,147.9,-8.6,-9.8,0.5,4.1,3.3,42363,5.3,413,0.071,30070,1.5,8,0.019,1.94,4.05,0.22,50,48
2000/10/16,07:27:21,-40,24/10/2000,12:00:00,5.5,4.7,-54,116.2,-3.8,-4.5,0.5,2.6,1.3,82329,3,438,0.034,15609,0.4,7,0.008,1.09,1.97,0.87,27,12
2000/10/24,08:26:05,-127.5,29/10/2000,03:00:00,17.6,17.5,-50.4,123.1,-13.5,-15.6,0.1,0.8,0.4,8717,3.6,404,0.052,1413,1,2,0.005,1.19,6.3,0.07,60,80
2000/10/25,08:26:05,-127.5,,,,,,,,,,,,,,,,,,,,,,,,
2000/11/01,16:26:08,-160,06/11/2000,21:00:00,10.2,9.2,35.6,96.9,5.3,4.4,0.2,4.3,3.3,59011,14.4,570,0.012,1729,1.9,5,0.001,8.19,-2.51,1.08,57,67
2000/11/03,18:26:06,-160,,,,,,,,,,,,,,,,,,,,,,,,
2000/11/08,04:50:23,-95,10/11/2000,12:00:00,12.7,12.1,-2.6,335.8,-0.6,1.6,1.3,3.8,2.6,1049036,4.3,865,0.011,134995,0.5,11,0,5.61,-1.38,1.31,53,56
2000/11/15,23:54:05,-27.5,20/11/2000,18:00:00,6.4,5.2,-2.6,106.7,-0.2,-0.8,0.3,3.4,2.8,90642,5.2,376,0.039,8083,0.7,9,0.006,1.42,0.3,1.16,23,9
2000/11/23,06:06:05,-80,27/11/2000,01:00:00,16.6,5.8,9.2,41.5,0.9,0.8,5.1,14.7,7.6,329882,11.1,618,0.053,79107,2.6,30,0.014,8.58,-0.49,0.77,63,94
2000/11/24,05:30:05,-120,29/11/2000,13:00:00,8.9,8.8,-29.1,37.8,-4.3,-5.5,0.2,1.4,0.9,55650,7.6,487,0.152,2685,1,3,0.011,4.84,2.68,0.73,50,48
2000/11/24,15:30:05,-120,,,,,,,,,,,,,,,,,,,,,,,,
2000/11/24,22:06:05,-120,,,,,,,,,,,,,,,,,,,,,,,,
2000/11/25,01:31:58,-120,,,,,,,,,,,,,,,,,,,,,,,,
2000/11/25,09:30:17,-120,,,,,,,,,,,,,,,,,,,,,,,,
2000/11/25,19:31:57,-120,,,,,,,,,,,,,,,,,,,,,,,,
2000/11/26,17:06:05,-120,,,,,,,,,,,,,,,,,,,,,,,,
2000/12/06,17:26:05,-25,09/12/2000,05:00:00,5.8,4.4,-5.3,332.5,-0.4,-0.1,0.3,3.3,2.5,166364,3.3,644,0.042,12651,0.3,16,0.004,2.67,0.06,1.2,37,22
2000/12/13,16:26:05,-25,18/12/2000,20:00:00,5.3,4.4,3.2,122.1,0.2,0.7,0.6,2.7,2.5,69286,6.7,361,0.068,7533,0.3,2,0.007,1.85,-0.25,1.96,27,12
2000/12/14,17:06:05,-25,,,,,,,,,,,,,,,,,,,,,,,,
2000/12/18,11:50:05,-62.5,23/12/2000,04:00:00,13.4,13.2,-73.1,30,-12.7,-12.6,0.2,2.2,0.3,9999999,999.9,312,0.01,9999999,999.9,5,0.002,99.99,3.93,999.99,57,67
2000/12/28,12:06:05,-20,28/12/2000,08:00:00,9,8.9,-14.4,308.2,-2.2,-1.4,0.1,1.2,0.9,31492,3,339,0.022,5951,0.4,7,0.005,0.63,0.47,0.25,13,5
2001/01/10,00:54:05,-30,12/01/2001,10:00:00,6,5.8,-36,149.3,-3.4,-3.5,0.1,1,0.7,21513,3,358,0.035,3988,0.3,2,0.006,0.73,1.25,0.52,17,6
2001/01/20,19:31:50,-60,24/01/2001,18:00:00,6.5,6.2,-66.5,70.6,-5.7,-4.7,0.5,1.6,0.9,25396,3.5,436,0.057,4539,0.9,3,0.008,1.36,2.05,0.53,47,39
2001/01/20,21:30:08,-60,,,,,,,,,,,,,,,,,,,,,,,,
2001/01/23,04:54:05,-60,,,,,,,,,,,,,,,,,,,,,,,,
2001/01/28,15:54:05,-45,31/01/2001,18:00:00,7.5,7,-43.6,143.7,-4.8,-3.5,0.4,2.4,1.1,168078,8.7,417,0.067,15365,0.4,4,0.01,3.2,1.46,1.91,40,27
2001/02/02,14:54:05,-30,06/02/2001,08:00:00,14.7,11.5,-9.1,134.5,-1.8,-0.5,1.4,8.9,6.8,174639,12.7,389,0.099,37816,1.5,10,0.022,4.48,0.19,0.74,43,32
2001/02/10,05:54:05,-50,13/02/2001,21:00:00,5.7,5.4,-63.3,181.1,-4.9,-4.3,0.6,1.8,1.3,223233,4.1,532,0.031,20658,0.3,12,0.005,2.18,2.29,1.85,47,39
2001/02/11,01:31:48,-50,,,,,,,,,,,,,,,,,,,,,,,,
2001/02/15,13:54:05,-25,21/02/2001,09:00:00,4.2,3.4,-33.8,88.5,-1.9,-1.3,0.2,2.3,1.7,52793,5.2,357,9.999,7530,0.3,6,9.999,1.33,0.46,2.22,20,7
2001/03/18,02:26:05,-150,20/03/2001,13:00:00,20.9,20.9,-61.4,192.2,-18.4,-18.3,0.1,0.8,0.3,9141,5.9,389,0.095,1052,0.5,2,0.023,2.06,7.12,0.08,73,154
2001/03/19,05:26:05,-150,,,,,,,,,,,,,,,,,,,,,,,,
2001/03/24,20:50:05,-87.5,28/03/2001,15:00:00,5.1,5,-19.5,350.8,-1.7,-1.9,0.1,1,0.8,40884,1.6,606,0.111,7197,0.4,2,0.013,1.42,1.15,0.43,57,67
2001/03/25,17:06:05,-87.5,,,,,,,,,,,,,,,,,,,,,,,,
2001/03/28,01:27:27,-388.3516484,31/03/2001,08:00:00,37.6,33.1,22.6,113.1,12.7,19.4,0.8,17.1,16,213380,17.5,644,0.13,25689,2.6,20,0.034,18.42,-12.49,0.18,87,300
2001/03/28,12:50:05,-388.3516484,,,,,,,,,,,,,,,,,,,,,,,,
2001/03/29,10:26:05,-388.3516484,,,,,,,,,,,,,,,,,,,,,,,,
2001/04/01,11:26:06,-225.5421687,,,,,,,,,,,,,,,,,,,,,,,,
2001/04/05,17:06:05,-62.5,04/04/2001,06:00:00,9.8,8.6,-32.2,351.5,-4.6,-4.7,0.3,3.9,1.4,392488,1.9,645,0.04,30311,0.3,11,0.01,1.53,3.03,0.43,40,27
2001/04/06,19:30:02,-266.6666667,11/04/2001,23:00:00,34.5,33.1,-6,271,-3.5,-20.5,0.5,9.6,8.6,241936,7.3,725,0.082,25221,5.3,11,0.022,8.51,14.86,0.09,83,236
2001/04/09,15:54:02,-270,,,,,,,,,,,,,,,,,,,,,,,,
2001/04/10,05:30:00,-270,,,,,,,,,,,,,,,,,,,,,,,,
2001/04/11,13:31:48,-270,,,,,,,,,,,,,,,,,,,,,,,,
2001/04/12,10:31:29,-234.2168675,12/04/2001,00:00:00,31.4,31.3,14,281.9,7.6,-8.9,1.5,2,0.9,283404,2.2,722,0.083,41722,1.4,8,0.018,2.55,6.43,0.04,73,154
2001/04/18,02:30:05,-115,18/04/2001,06:00:00,9.1,2.7,-6.7,62.9,-0.3,0.4,1.8,8.5,6.3,289065,26.4,513,0.028,12867,2.3,6,0.003,12.9,-0.21,5.54,67,111
2001/04/26,12:30:05,-47.5,29/04/2001,02:00:00,9.8,9.5,-55.9,150.8,-7.9,-6.1,0.1,2,0.6,23256,3.2,665,0.073,2398,0.6,5,0.013,3.05,4.06,0.21,43,32
2001/06/15,15:56:27,-60,18/06/2001,08:00:00,16,13.8,-56.8,0.6,-11.6,-11.5,1.9,7.2,4.1,68050,21.8,363,0.026,13562,10.7,4,0.003,5.3,4.17,0.7,50,48
2001/06/20,19:54:05,-30,21/06/2001,19:00:00,4.9,4.6,22.1,127.8,1.7,2.1,0.1,1.5,1.4,207215,1.3,481,0.057,12725,0.1,6,0.006,0.62,-1.01,0.76,37,22
2001/06/24,07:31:52,-20,27/06/2001,00:00:00,6.7,6.1,-56.1,296.7,-5.1,-5.5,0.3,2.7,1.7,108143,2.7,492,0.025,10411,0.2,6,0.003,1.2,2.71,0.59,37,22
2001/08/14,16:01:28,-105,17/08/2001,21:00:00,29.8,23.3,41.4,119,15.4,12.7,4.8,18.2,6.1,96760,23.4,485,0.039,33998,25,16,0.012,10.63,-6.16,0.25,63,94
2001/08/15,23:54:05,-105,,,,,,,,,,,,,,,,,,,,,,,,
2001/08/19,06:06:05,-32.5,22/08/2001,20:00:00,8.2,7.6,-42.7,320.2,-5.1,-4.3,0.1,2.7,1.7,309920,2.4,543,0.041,28509,0.2,16,0.002,1.38,2.33,0.65,40,27
2001/08/25,16:50:05,-25,26/08/2001,08:00:00,11.1,10.2,0.1,303.7,0,4.2,0.7,4.2,4,81315,5.3,418,0.064,11134,1.1,4,0.009,1.94,-1.76,0.38,30,15
2001/08/31,16:11:33,-40,31/08/2001,10:00:00,5.7,0.6,13.9,57.6,0.1,-0.2,0.5,5.6,2.5,130544,4,432,0.032,24933,1.3,10,0.004,1.41,0.09,1.33,33,18
2001/09/11,14:54:05,-57.5,13/09/2001,07:00:00,8.2,7.2,36.6,115.5,4.3,1.1,0.5,3,1.2,116908,9,395,0.055,7609,0.4,10,0.008,2.86,-0.43,1.37,47,39
2001/09/18,21:18:24,-72.5,23/09/2001,18:00:00,11.7,11.5,-38.4,33.5,-7.2,-8.4,0.3,1.5,1,200972,6.9,495,0.033,14474,0.8,7,0.007,3.2,4.16,0.69,60,80
2001/09/21,03:54:07,-102.5,26/09/2001,19:00:00,19,17.1,18.9,132.7,5.5,2.1,5.3,9.5,6.7,596999,8.1,627,0.03,191017,3.8,14,0,5.96,-1.32,0.68,57,67
